Bench,Row,Column,Position,Plant,Inoc,Trait,Measurement
Left,3,L-B,L-B3,L-B3,225+717A,Root_dry_mass,56.99
Left,3,L-C,L-C3,L-C3,225+717A,Root_dry_mass,70.12
Left,4,L-C,L-C4,L-C4,225+717A,Root_dry_mass,52.87
Right,6,R-B,R-B6,R-B6,225+717A,Root_dry_mass,32.57
Right,5,R-C,R-C5,R-C5,225+717A,Root_dry_mass,26.41
Left,2,L-B,L-B2,L-B2,225+733B,Root_dry_mass,60.04
Right,3,R-A,R-A3,R-A3,225+733B,Root_dry_mass,24.74
Right,5,R-A,R-A5,R-A5,225+733B,Root_dry_mass,22.79
Right,5,R-B,R-B5,R-B5,225+733B,Root_dry_mass,35.81
Right,1,R-C,R-C1,R-C1,225+733B,Root_dry_mass,18.95
Left,5,L-B,L-B5,L-B5,Sterile + N,Root_section_mass,44.39
Left,5,L-D,L-D5,L-D5,Sterile + N,Root_section_mass,37.82
Right,2,R-A,R-A2,R-A2,Sterile + N,Root_section_mass,45.5
Right,2,R-B,R-B2,R-B2,Sterile + N,Root_section_mass,38.02
Right,5,R-D,R-D5,R-D5,Sterile + N,Root_section_mass,34.32
Left,4,L-B,L-B4,L-B4,717A + N,Root_section_mass,36.06
Left,6,L-B,L-B6,L-B6,717A + N,Root_section_mass,NA
Left,5,L-C,L-C5,L-C5,717A + N,Root_section_mass,31.27
Right,4,R-B,R-B4,R-B4,717A + N,Root_section_mass,53.58
Right,3,R-C,R-C3,R-C3,717A + N,Root_section_mass,43.04
Left,2,L-A,L-A2,L-A2,733B + N,Root_section_mass,27.73
Left,1,L-C,L-C1,L-C1,733B + N,Root_section_mass,31.37
Left,2,L-C,L-C2,L-C2,733B + N,Root_section_mass,NA
Right,2,R-D,R-D2,R-D2,733B + N,Root_section_mass,27.18
Right,4,R-D,R-D4,R-D4,733B + N,Root_section_mass,21.68
Left,6,L-A,L-A6,L-A6,141,Root_section_mass,28.23
Left,3,L-D,L-D3,L-D3,141,Root_section_mass,83.28
Right,4,R-A,R-A4,R-A4,141,Root_section_mass,48.95
Right,2,R-C,R-C2,R-C2,141,Root_section_mass,39.56
Right,3,R-D,R-D3,R-D3,141,Root_section_mass,5.69
Left,1,L-A,L-A1,L-A1,141+717A,Root_section_mass,4.4
Left,3,L-A,L-A3,L-A3,141+717A,Root_section_mass,19.14
Left,5,L-A,L-A5,L-A5,141+717A,Root_section_mass,16.71
Right,1,R-B,R-B1,R-B1,141+717A,Root_section_mass,7.82
Right,4,R-C,R-C4,R-C4,141+717A,Root_section_mass,40.38
Left,2,L-D,L-D2,L-D2,141+733B,Root_section_mass,44.92
Left,4,L-D,L-D4,L-D4,141+733B,Root_section_mass,36.34
Right,1,R-A,R-A1,R-A1,141+733B,Root_section_mass,NA
Right,3,R-B,R-B3,R-B3,141+733B,Root_section_mass,34.74
Right,1,R-D,R-D1,R-D1,141+733B,Root_section_mass,14.95
Left,4,L-A,L-A4,L-A4,225,Root_section_mass,47.11
Left,1,L-B,L-B1,L-B1,225,Root_section_mass,20.91
Left,6,L-C,L-C6,L-C6,225,Root_section_mass,32.21
Left,1,L-D,L-D1,L-D1,225,Root_section_mass,30.09
Right,6,R-A,R-A6,R-A6,225,Root_section_mass,35.41
Left,3,L-B,L-B3,L-B3,225+717A,Root_section_mass,28.13
Left,3,L-C,L-C3,L-C3,225+717A,Root_section_mass,41.46
Left,4,L-C,L-C4,L-C4,225+717A,Root_section_mass,57.94
Right,6,R-B,R-B6,R-B6,225+717A,Root_section_mass,49.24
Right,5,R-C,R-C5,R-C5,225+717A,Root_section_mass,40.85
Left,2,L-B,L-B2,L-B2,225+733B,Root_section_mass,31.4
Right,3,R-A,R-A3,R-A3,225+733B,Root_section_mass,41.04
Right,5,R-A,R-A5,R-A5,225+733B,Root_section_mass,53.5
Right,5,R-B,R-B5,R-B5,225+733B,Root_section_mass,16.98
Right,1,R-C,R-C1,R-C1,225+733B,Root_section_mass,37.46
Left,5,L-B,L-B5,L-B5,Sterile + N,Tot_root_mass,80.42
Left,5,L-D,L-D5,L-D5,Sterile + N,Tot_root_mass,137.73
Right,2,R-A,R-A2,R-A2,Sterile + N,Tot_root_mass,83.58
Right,2,R-B,R-B2,R-B2,Sterile + N,Tot_root_mass,57.84
Right,5,R-D,R-D5,R-D5,Sterile + N,Tot_root_mass,52.43
Left,4,L-B,L-B4,L-B4,717A + N,Tot_root_mass,86.73
Left,6,L-B,L-B6,L-B6,717A + N,Tot_root_mass,NA
Left,5,L-C,L-C5,L-C5,717A + N,Tot_root_mass,58
Right,4,R-B,R-B4,R-B4,717A + N,Tot_root_mass,69.87
Right,3,R-C,R-C3,R-C3,717A + N,Tot_root_mass,55.97
Left,2,L-A,L-A2,L-A2,733B + N,Tot_root_mass,68.98
Left,1,L-C,L-C1,L-C1,733B + N,Tot_root_mass,70.49
Left,2,L-C,L-C2,L-C2,733B + N,Tot_root_mass,NA
Right,2,R-D,R-D2,R-D2,733B + N,Tot_root_mass,40.21
Right,4,R-D,R-D4,R-D4,733B + N,Tot_root_mass,42.29
Left,6,L-A,L-A6,L-A6,141,Tot_root_mass,67.24
Left,3,L-D,L-D3,L-D3,141,Tot_root_mass,102.8
Right,4,R-A,R-A4,R-A4,141,Tot_root_mass,64.99
Right,2,R-C,R-C2,R-C2,141,Tot_root_mass,62.58
Right,3,R-D,R-D3,R-D3,141,Tot_root_mass,5.69
Left,1,L-A,L-A1,L-A1,141+717A,Tot_root_mass,13.91
Left,3,L-A,L-A3,L-A3,141+717A,Tot_root_mass,73.77
Left,5,L-A,L-A5,L-A5,141+717A,Tot_root_mass,40.09
Right,1,R-B,R-B1,R-B1,141+717A,Tot_root_mass,14.6
Right,4,R-C,R-C4,R-C4,141+717A,Tot_root_mass,65.57
Left,2,L-D,L-D2,L-D2,141+733B,Tot_root_mass,66.39
Left,4,L-D,L-D4,L-D4,141+733B,Tot_root_mass,59.49
Right,1,R-A,R-A1,R-A1,141+733B,Tot_root_mass,NA
Right,3,R-B,R-B3,R-B3,141+733B,Tot_root_mass,60.99
Right,1,R-D,R-D1,R-D1,141+733B,Tot_root_mass,14.95
Left,4,L-A,L-A4,L-A4,225,Tot_root_mass,111.43
Left,1,L-B,L-B1,L-B1,225,Tot_root_mass,75.6
Left,6,L-C,L-C6,L-C6,225,Tot_root_mass,88.49
Left,1,L-D,L-D1,L-D1,225,Tot_root_mass,70.53
Right,6,R-A,R-A6,R-A6,225,Tot_root_mass,57.32
Left,3,L-B,L-B3,L-B3,225+717A,Tot_root_mass,85.12
Left,3,L-C,L-C3,L-C3,225+717A,Tot_root_mass,111.58
Left,4,L-C,L-C4,L-C4,225+717A,Tot_root_mass,110.81
Right,6,R-B,R-B6,R-B6,225+717A,Tot_root_mass,81.81
Right,5,R-C,R-C5,R-C5,225+717A,Tot_root_mass,67.26
Left,2,L-B,L-B2,L-B2,225+733B,Tot_root_mass,91.44
Right,3,R-A,R-A3,R-A3,225+733B,Tot_root_mass,65.78
Right,5,R-A,R-A5,R-A5,225+733B,Tot_root_mass,76.29
Right,5,R-B,R-B5,R-B5,225+733B,Tot_root_mass,52.79
Right,1,R-C,R-C1,R-C1,225+733B,Tot_root_mass,56.41
Left,5,L-B,L-B5,L-B5,Sterile + N,Shoot_mass,32.33
Left,5,L-D,L-D5,L-D5,Sterile + N,Shoot_mass,70.41
